sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Vaccinium_myrtillus	MZ393051.1	26-OCT-2022	680	Russia: Yakutia, Aldan district	primary	trnS-trnG	58.57247	126.1788	0.000437977496597693
Vaccinium_myrtillus	MZ393050.1	26-OCT-2022	696	Russia: Yakutia, Aldan district	primary	trnS-trnG	58.61587	125.38941	0.000468036446807215
Vaccinium_myrtillus	MZ393049.1	26-OCT-2022	702	Hungary: Heves county, Petervasara district	primary	trnS-trnG	47.91636	19.94983	0.000537110311071982
Vaccinium_myrtillus	MZ393048.1	26-OCT-2022	701	Hungary: Borsod-Abauj-Zemplen county, Satoraljaujhely district	primary	trnS-trnG	48.42027	21.49027	0.00053728064655686
Vaccinium_myrtillus	MZ393047.1	26-OCT-2022	691	Hungary: Heves county, Petervasara district	primary	trnS-trnG	47.90647	19.95788	0.00135715425188135
Vaccinium_myrtillus	MZ393046.1	26-OCT-2022	701	Poland: Krosno county, Gmina Dukla district	primary	trnS-trnG	49.4251	21.69055	0.00053728064655686
Vaccinium_myrtillus	MZ393044.1	26-OCT-2022	699	Russia: Leningrad region, Lodeynoe Pole district	primary	trnS-trnG	60.64818	33.19915	0.000537722495859353
Vaccinium_myrtillus	MZ393043.1	26-OCT-2022	701	Spain: Leon, Marana	primary	trnS-trnG	43.08372	-5.21873	0.00053728064655686
Vaccinium_myrtillus	MZ393042.1	26-OCT-2022	701	Spain: Asturias, Caso	primary	trnS-trnG	43.12251	-5.30942	0.00053728064655686
Vaccinium_myrtillus	MZ393041.1	26-OCT-2022	702	Russia: Krasnodar region, Tuapse district	primary	trnS-trnG	44.11407	39.58235	0.000536894195517145
Vaccinium_myrtillus	MZ393040.1	26-OCT-2022	701	Russia: Murmansk region, Tersky district	primary	trnS-trnG	66.54991	34.5679	0.00053728064655686
Vaccinium_myrtillus	MZ393039.1	26-OCT-2022	701	Russia: Murmansk region, Teriberka district	primary	trnS-trnG	69.22777	35.23058	0.00053728064655686
Vaccinium_myrtillus	MZ393038.1	26-OCT-2022	701	Russia: Murmansk region, Teriberka district	primary	trnS-trnG	69.19197	35.5599	0.00053728064655686
Vaccinium_myrtillus	MZ393037.1	26-OCT-2022	701	Slovenia: Ljubljana region, Sostro district	primary	trnS-trnG	46.02871	14.61221	0.00053728064655686
Vaccinium_myrtillus	MZ393036.1	26-OCT-2022	695	Russia: Krasnodar region, Adler district	primary	trnS-trnG	43.63333	40.28611	0.000468089826306875
Vaccinium_myrtillus	MZ393035.1	26-OCT-2022	683	Russia: Krasnodar region, Sochi district	primary	trnS-trnG	43.65954	40.43727	0.00041916242366791
Vaccinium_myrtillus	MZ393034.1	26-OCT-2022	689	Russia: Leningrad region, Lodeynoe Pole district	primary	trnS-trnG	60.6767	33.99798	0.000469515632981829
Vaccinium_myrtillus	MZ393033.1	26-OCT-2022	688	Russia: Karachay-Cherkessia, Karachayevsk district	primary	trnS-trnG	43.28999	41.61081	0.000434934887417859
Vaccinium_myrtillus	MZ393032.1	26-OCT-2022	694	Russia: North Ossetia, Alagir district	primary	trnS-trnG	42.80093	43.94337	0.00152330893669548
Vaccinium_myrtillus	MZ393031.1	26-OCT-2022	672	Russia: Karelia, Loukhi district	primary	trnS-trnG	61.63207	31.14158	0.000315711732787716
Vaccinium_myrtillus	MZ393030.1	26-OCT-2022	686	Sweden: Skane county, Perstorp	primary	trnS-trnG	56.20417	13.39467	0.000471073329105536
Vaccinium_myrtillus	MZ393029.1	26-OCT-2022	691	Sweden: Kalmar county, Vimmerby	primary	trnS-trnG	57.5857	16.062	0.000469015602083791
Vaccinium_myrtillus	MZ393028.1	26-OCT-2022	676	Croatia: Zagreb counte, Jakovlje	primary	trnS-trnG	46.1465247930694	16.0487530364344	0.000476922237608893
Vaccinium_myrtillus	MZ393027.1	26-OCT-2022	666	Croatia: Zagreb counte, Jakovlje	primary	trnS-trnG	45.8172201218384	14.9943841848969	0.000409077083759105
Vaccinium_myrtillus	MZ393026.1	26-OCT-2022	666	Croatia: Zagreb counte, Jakovlje	primary	trnS-trnG	45.3605972051716	15.9605111418666	0.000409077083759105
Vaccinium_myrtillus	MZ393025.1	26-OCT-2022	673	Romania: Alba county, Fegbonlaus	primary	trnS-trnG	46.4891	22.81174	0.000442580344227681
Vaccinium_myrtillus	MZ393024.1	26-OCT-2022	666	Italy: Emilia-Romagna, Corno Alle Scale	primary	trnS-trnG	44.12264	10.83018	0.000409077083759105
Vaccinium_myrtillus	MZ393023.1	26-OCT-2022	676	Russia: Marii El republic, Zvenigovo district	primary	trnS-trnG	56.44925	47.52074	0.000403936973419672
Vaccinium_myrtillus	MZ393022.1	26-OCT-2022	675	Russia: Marii El republic, Zvenigovo district	primary	trnS-trnG	55.98672	48.09195	0.000477128500258595
Vaccinium_myrtillus	MZ393021.1	26-OCT-2022	676	Russia: Krasnodar region, Tuapse district	primary	trnS-trnG	44.10685	39.45489	0.00047719215210283
Vaccinium_myrtillus	MZ393020.1	26-OCT-2022	687	Russia: Arkhangelsk region, Pinega district	primary	trnS-trnG	66.34336	33.6771	0.000435303888356799
Vaccinium_myrtillus	MZ393019.1	26-OCT-2022	672	Austria: Wiener Hausberge, Rax	primary	trnS-trnG	47.1617623216537	16.7272337856559	0.000479731049214043
Vaccinium_myrtillus	MZ393018.1	26-OCT-2022	457	Austria: Wiener Hausberge, Rax	primary	trnS-trnG	48.0987985001597	15.5733299512941	0.00255094692188899
Vaccinium_myrtillus	MZ393017.1	26-OCT-2022	670	Austria: Lower Austrian Limestone Alps, Rothwald	primary	trnS-trnG	47.77476	15.09225	0.00139328342763778
Vaccinium_myrtillus	MZ393016.1	26-OCT-2022	599	Austria: Waldviertel, Giesshubl	primary	trnS-trnG	48.31996	15.36356	0.000470933823688748
Vaccinium_myrtillus	MZ393015.1	26-OCT-2022	666	Germany: Berchtesgaden, Hintersee	primary	trnS-trnG	47.7959025170943	12.5232620902848	0.000409077083759105
Vaccinium_myrtillus	MZ393014.1	26-OCT-2022	660	Germany: Berchtesgaden, Hintersee	primary	trnS-trnG	47.2698360662331	11.7225029772308	0.000338536691933603
Vaccinium_myrtillus	MZ393013.1	26-OCT-2022	658	Germany: Berchtesgaden, Hintersee	primary	trnS-trnG	46.9868148350675	13.2122939767697	0.000320874879456152
