sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Bromus_hordeaceus	MF596615.1	28-FEB-2018	603	Canada: British Columbia, NE of Osoyoos ~2 km going up Anarchist Mountain, just before town lookout and just beyond the first switchback.	primary	rbcL	49.4940278717629	-119.503917558759	0.0425746861018906
Bromus_hordeaceus	MF596614.1	28-FEB-2018	603	Canada: British Columbia, Vancouver Island. Fairwinds Natural Area, along trail to Dolphin Lake and Enos Lake.	primary	rbcL	49.7038496337325	-123.850924038932	0.0425746861018906
Bromus_hordeaceus	MF596613.1	28-FEB-2018	603	Canada: British Columbia, Queen Charlotte Islands, Moresby Island, Moresby Camp, Gillett Arm of Cumshewa Inlet, 11 km from Y junction of the loop road.	primary	rbcL	52.6592146056762	-131.991455651835	0.0425746861018906
Bromus_hordeaceus	MF596612.1	28-FEB-2018	603	Canada: British Columbia, Vancouver Island, Thetis Lake Regional Park, just N of Hwy. 1, N of Langford.	primary	rbcL	48.9419192974489	-122.810994724322	0.0425746861018906
Bromus_hordeaceus	MG227494.1	23-JAN-2018	603	Canada: British Columbia, Vancouver Island. Fairwinds Natural Area, along trail to Dolphin Lake and Enos Lake.	primary	rbcL	48.4746474935089	-124.64957603575	0.0425746861018906
Bromus_hordeaceus	MG227440.1	23-JAN-2018	603	Canada: British Columbia, Queen Charlotte Islands, Moresby Island, Moresby Camp, Gillett Arm of Cumshewa Inlet, 11 km from Y junction of the loop road.	primary	rbcL	52.9479092963392	-133.4669903794	0.0425746861018906
Bromus_hordeaceus	MG227115.1	23-JAN-2018	603	Canada: British Columbia, Vancouver Island, Thetis Lake Regional Park, just N of Hwy. 1, N of Langford.	primary	rbcL	48.8512918709392	-124.673251616381	0.0425746861018906
Bromus_hordeaceus	MG226987.1	23-JAN-2018	603	Canada: British Columbia, NE of Osoyoos ~2 km going up Anarchist Mountain, just before town lookout and just beyond the first switchback.	primary	rbcL	48.7300025295077	-118.175288853872	0.0425746861018906
Bromus_hordeaceus	FJ898514.1	03-FEB-2011	1530	France: Morbihan, Belle-ile	secondary	rbcL	47.3339397	-3.1972907	0.554801334566527
Bromus_hordeaceus	HM849826.1	23-JUL-2011	1327	Portugal	secondary	rbcL	39.6621648	-8.1353519	0.0417004048582996
Bromus_hordeaceus	JN892852.1	07-MAR-2012	542	United Kingdom: Pembrokeshire	secondary	rbcL	51.8339209	-4.916667	0.0431258602232757
Bromus_hordeaceus	JN892851.1	07-MAR-2012	542	United Kingdom: Monmouthshire	secondary	rbcL	51.7501058	-2.8333331	0.0431258602232757
Bromus_hordeaceus	JN890723.1	07-MAR-2012	542	United Kingdom: Glamorgan (41)	secondary	rbcL	51.3988488	-3.2906572	0.0431258602232757
Bromus_hordeaceus	GQ248557.1	24-JUN-2009	546	United Kingdom	secondary	rbcL	51.16175085	-3.07538670622275	0.0431258602232757
