sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Acer_pseudoplatanus	AM238275.1	20-SEP-2007	669	France	secondary	18S rRNA	47.4562813153166	2.03273759018195	0.0148221285094645
Acer_pseudoplatanus	AM238274.1	20-SEP-2007	717	France	secondary	18S rRNA	47.2582947664284	1.05207020931214	0.0147054458646116
Acer_pseudoplatanus	AM238273.1	20-SEP-2007	729	France	secondary	18S rRNA	46.3223279760795	0.943700888669412	0.014535711644491
Acer_pseudoplatanus	AM238272.1	20-SEP-2007	738	Germany	secondary	18S rRNA	31.4481979170084	-94.9930370953853	0.0148619804063474
Acer_pseudoplatanus	AM238271.1	20-SEP-2007	738	Germany	secondary	18S rRNA	31.1506027474619	-94.6594183439979	0.0962208856414381
Acer_pseudoplatanus	AM238270.1	20-SEP-2007	718	France	secondary	18S rRNA	46.5766347768107	2.41301566023955	0.0125140752117869
Acer_pseudoplatanus	AM238269.1	20-SEP-2007	737	France	secondary	18S rRNA	46.9235054971087	1.45911532264691	0.0123360681390222
Acer_pseudoplatanus	AM238268.1	20-SEP-2007	676	France	secondary	18S rRNA	45.9154893190995	1.46174392206816	0.0134133200221443
Acer_pseudoplatanus	AM238267.1	20-SEP-2007	739	France	secondary	18S rRNA	46.2690411883516	2.38954692572691	0.0123191709427473
Acer_pseudoplatanus	AM238266.1	20-SEP-2007	737	France	secondary	18S rRNA	45.8840423355049	1.90649641388395	0.0146364339669251
Acer_pseudoplatanus	AM238265.1	20-SEP-2007	706	France	secondary	18S rRNA	46.3464696359901	1.4251880706775	0.0140555147866089
Acer_pseudoplatanus	AM238264.1	20-SEP-2007	667	France	secondary	18S rRNA	46.2120458054276	2.00347143494966	0.0186500633199023
Acer_pseudoplatanus	AM238263.1	20-SEP-2007	721	France	secondary	18S rRNA	46.3497867671272	2.20981723407298	0.0149230165432125
Acer_pseudoplatanus	AM238261.1	20-SEP-2007	738	France	secondary	18S rRNA	47.1955839595931	1.51840818481346	0.0135329349313506
Acer_pseudoplatanus	AM238260.1	20-SEP-2007	697	France	secondary	18S rRNA	46.7371412165557	1.18816882247845	0.0154485569574919
Acer_pseudoplatanus	AM238259.1	20-SEP-2007	724	France	secondary	18S rRNA	46.8107695564841	2.33735818070211	0.0144384318866754
Acer_pseudoplatanus	AM238258.1	20-SEP-2007	730	France	secondary	18S rRNA	46.8123708194976	2.77026139744378	0.014811965178678
Acer_pseudoplatanus	AM238257.1	20-SEP-2007	731	France	secondary	18S rRNA	46.4695526802648	1.45449470165124	0.0145486657028413
Acer_pseudoplatanus	AM238256.1	20-SEP-2007	736	France	secondary	18S rRNA	45.9568944278662	2.45014168455602	0.0122823701728015
Acer_pseudoplatanus	AM238255.1	20-SEP-2007	737	France	secondary	18S rRNA	46.8650224214602	1.9365914820824	0.0182171653668925
Acer_pseudoplatanus	AM238254.1	20-SEP-2007	738	France	secondary	18S rRNA	46.2684160915035	2.95587401271073	0.0131635040704364
Acer_pseudoplatanus	AM238253.1	20-SEP-2007	737	Germany	secondary	18S rRNA	30.8473075369885	-95.6790044783992	0.0731414326914525
Acer_pseudoplatanus	AM238252.1	20-SEP-2007	737	Germany	secondary	18S rRNA	31.8235237198313	-96.2346292933091	0.0646300118941817
Acer_pseudoplatanus	AM238251.1	20-SEP-2007	700	Germany	secondary	18S rRNA	31.5541155900298	-96.0246871447735	0.0142644117551984
