sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Poa_laxa	MG217090.1	24-JAN-2018	772	Canada: Nunavut, Baffin Island, Lower Savage Islands, V-shaped lake 1.5 km S of Savage Harbour	primary	matK	62.0870709079641	-67.1150945645058	0.00309977110653875
Poa_laxa	MG217083.1	24-JAN-2018	772	Canada: Nunavut, Baffin Island, Lower Savage Islands, V-shaped lake 1.5 km S of Savage Harbour	primary	matK	62.3121957446497	-66.3946957050193	0.00309977110653875
Poa_laxa	KY944647.1	21-MAR-2018	788	Czech Republic	secondary	matK	49.7439047	15.3381061	0.00632291428435567
Poa_laxa	KY944646.1	21-MAR-2018	788	Austria	secondary	matK	36.5317008612036	-4.15306625553425	0.00512350254221006
Poa_laxa	KY944645.1	21-MAR-2018	749	Austria	secondary	matK	37.2693045478416	-5.61080257905425	0.00523591986961744
Poa_laxa	KY944644.1	21-MAR-2018	788	Spain	secondary	matK	39.3260685	-4.8379791	0.00632291428435567
Poa_laxa	KY944643.1	21-MAR-2018	788	Sweden	secondary	matK	59.6749712	14.5208584	0.00368302789266916
Poa_laxa	KY944642.1	21-MAR-2018	788	Norway	secondary	matK	65.2642175348741	11.305726252586	0.00368302789266916
Poa_laxa	KY944641.1	21-MAR-2018	745	USA	secondary	matK	40.1129099047581	-100.668842519629	0.00313350263014693
Poa_laxa	KY944640.1	21-MAR-2018	754	USA	secondary	matK	40.0885338477971	-99.5255595657841	0.00309977110653875
Poa_laxa	KY944639.1	21-MAR-2018	754	USA	secondary	matK	40.1439589299302	-100.68557221506	0.00309977110653875
Poa_laxa	KY944638.1	21-MAR-2018	754	USA	secondary	matK	40.2739226139741	-99.5564548588565	0.00309977110653875
Poa_laxa	KY378875.1	25-FEB-2018	783	Norway	secondary	matK	65.0817040153751	10.5805510991645	0.00370713618297036
