sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Gagea_bohemica	HE649516.1	04-FEB-2013	615	Turkey	secondary	ITS	38.6464319199388	35.1975770334581	0.0175549850853881
Gagea_bohemica	HE649515.1	04-FEB-2013	615	Turkey	secondary	ITS	38.5330105135145	34.5515993229651	0.0175549850853881
Gagea_bohemica	HE649514.1	04-FEB-2013	615	Spain	secondary	ITS	39.3260685	-4.8379791	0.019333473062079
Gagea_bohemica	AM931940.1	11-JAN-2008	600	Italy:Calabria	secondary	ITS	38.6858650496126	16.9063272975214	0.0577431221102386
Gagea_bohemica	AM287271.1	19-JUL-2006	673	Italy:Abruzzo	secondary	ITS	42.227681	13.854983	0.0170189989029731
Gagea_bohemica	AM265528.1	23-MAY-2006	673	Greece:Crete	secondary	ITS	35.3084952	24.4633423	0.018688789061279
Gagea_bohemica	AM162672.1	30-NOV-2005	672	Russia:Dagestan	secondary	ITS	43	47	0.0183905152798402
Gagea_bohemica	AJ437198.1	01-MAR-2002	659	Germany:Saxony-Anhalt	secondary	ITS	52.6681768875791	12.4494391061591	0.0177223299008656
Gagea_bohemica	AJ427549.1	12-JAN-2002	659	Czech Republic:Moravia	secondary	ITS	49.0593152	17.1130299	0.0201846008879259
Gagea_bohemica	FR874911.1	10-JAN-2012	594	Germany	secondary	ITS	34.8379983732486	-83.7212529106158	0.0180863207483578
Gagea_bohemica	FR874910.1	10-JAN-2012	617	Germany	secondary	ITS	34.7996744658319	-84.3919653653995	0.0169995364089743
Gagea_bohemica	FR874909.1	10-JAN-2012	617	Germany	secondary	ITS	35.4821151785024	-84.1690190845527	0.0177423595003751
Gagea_bohemica	FR874908.1	10-JAN-2012	617	Germany	secondary	ITS	35.2507085835174	-83.3973350549549	0.0177423595003751
Gagea_bohemica	FR874906.1	10-JAN-2012	617	Czech Republic	secondary	ITS	49.7439047	15.3381061	0.0188286584568225
Gagea_bohemica	AM931949.1	11-JAN-2008	601	Italy:Calabria	secondary	ITS	39.7394188260462	16.9223398189864	0.0487953859999863
Gagea_bohemica	AM931948.1	11-JAN-2008	601	Italy:Calabria	secondary	ITS	38.9382289546602	17.4784944524255	0.050834180236406
Gagea_bohemica	AM931947.1	11-JAN-2008	600	Italy:Calabria	secondary	ITS	38.9882189050843	15.6631766331314	0.0504049573363012
Gagea_bohemica	AM931946.1	11-JAN-2008	601	Italy:Calabria	secondary	ITS	39.6555639074082	17.3349182000009	0.0507105180273306
Gagea_bohemica	AM931945.1	11-JAN-2008	600	Italy:Calabria	secondary	ITS	39.1806401837315	15.4814107656177	0.0480500121945355
Gagea_bohemica	AM931944.1	11-JAN-2008	601	Italy:Calabria	secondary	ITS	39.7300008398036	16.5440513312704	0.0301859695595062
Gagea_bohemica	AM931943.1	11-JAN-2008	599	Italy:Calabria	secondary	ITS	38.7921324651988	15.4546829415405	0.0279799107909616
Gagea_bohemica	AM931942.1	11-JAN-2008	599	Italy:Calabria	secondary	ITS	39.8852469764153	16.1092639442303	0.0198602394594557
Gagea_bohemica	AM931941.1	11-JAN-2008	599	Italy:Calabria	secondary	ITS	38.9489431447839	15.5164967655953	0.017191611361872
Gagea_bohemica	AJ437199.1	01-MAR-2002	659	Germany:Rhineland Palatinate	secondary	ITS	49.9531599	7.310646	0.0169191959622322
Gagea_bohemica	AJ427547.1	12-JAN-2002	659	Germany:Saxony-Anhalt	secondary	ITS	51.4344791730636	11.0041633188994	0.0170292754150157
Gagea_bohemica	AM265527.1	23-MAY-2006	673	Germany:Brandenburg	secondary	ITS	52.8455492	13.2461296	0.017640183440948
Gagea_bohemica	AJ437200.1	01-MAR-2002	659	Germany:Saxony-Anhalt	secondary	ITS	52.2261463068912	11.147918550065	0.0184013876667875
Gagea_bohemica	AJ427548.1	12-JAN-2002	659	Germany:Saxony-Anhalt	secondary	ITS	52.0895058262852	12.1686849548168	0.0176678438357131
