sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Achillea_millefolium	OR738029.1	13-NOV-2023	542	Kazakhstan: East Kazakhstan region	primary	rbcL	50.55889	81.65889	0.00016585443607816
Achillea_millefolium	OR678666.1	06-NOV-2023	502	Kazakhstan: Qaragandy region	primary	rbcL	49.756	73.11774	5.85891727208812e-05
Achillea_millefolium	OR237400.1	17-SEP-2023	504	Kazakhstan: Buiratau National Park	primary	rbcL	51.1626	73.196	8.75350140056022e-05
Achillea_millefolium	OQ404760.1	03-JUL-2023	613	USA: Asylum Lake Preserve, Kalamazoo, MI	primary	rbcL	42.2611843	-85.63715192	0.000203949850563203
Achillea_millefolium	OL537525.1	10-JAN-2022	553	USA: Texas, Fort Worth Botanic Gardens	primary	rbcL	32.735	-97.365	0.000162493619813137
Achillea_millefolium	OL537524.1	10-JAN-2022	553	USA: Texas, Texas, Jeff Davis County	primary	rbcL	30.641	-104.165	0.000162493619813137
Achillea_millefolium	KP644096.1	08-DEC-2015	553	USA: Virginia, Front Royal, Smithsonian National Zoological Park's Conservation Biology Institute, Front Royal, VA	primary	rbcL	38.892	-78.146	0.000162493619813137
Achillea_millefolium	MG224381.1	26-DEC-2017	552	Canada: Ontario, Cochrane Dist., Mammamattawa, abandoned Hudson Bay Company Post, Kenogami River.	primary	rbcL	50.417	-84.383	0.000162589970956786
Achillea_millefolium	MG224344.1	26-DEC-2017	552	Canada: Nunavut, Akimiski Island, camp.	primary	rbcL	53.108	-80.963	0.000162589970956786
Achillea_millefolium	MG223865.1	26-DEC-2017	553	Canada: Ontario, Wellington, Wellington, Guelph	primary	rbcL	43.3872524811345	-79.3848940037293	0.000162493619813137
Achillea_millefolium	MG223805.1	26-DEC-2017	553	Canada: Ontario, Wellington County, City of Guelph, University of Guelph Arboretum	primary	rbcL	44.2850010485846	-80.0458188926777	0.000162493619813137
Achillea_millefolium	MG223740.1	26-DEC-2017	552	USA: North Dakota	primary	rbcL	48.454	-101.592	0.000162589970956786
Achillea_millefolium	MG223542.1	26-DEC-2017	549	Canada: Ontario, Algoma, Lake Superior P.P.	primary	rbcL	47.75	-84.8333	0.000163494025064095
Achillea_millefolium	MG223438.1	26-DEC-2017	552	Canada: Yukon Territory, Shingle Point area, DEW Line Station DEWSEEP	primary	rbcL	68.937	-137.239	0.000162589970956786
Achillea_millefolium	MG223079.1	26-DEC-2017	552	USA: North Dakota	primary	rbcL	48.113	-101.795	0.000162589970956786
Achillea_millefolium	MG222330.1	26-DEC-2017	552	USA: North Dakota	primary	rbcL	47.906	-101.306	0.000162589970956786
Achillea_millefolium	MG221847.1	26-DEC-2017	552	Canada: Yukon Territory, La Biche River	primary	rbcL	60.156	-124.069	0.000162589970956786
Achillea_millefolium	MG221536.1	26-DEC-2017	552	Canada: Ontario, Thunder Bay Dist., Sleeping Giant Provincial Park, top of Thunder Cape near foot of Sleeping Giant.	primary	rbcL	48.317	-88.933	0.000162589970956786
Achillea_millefolium	MG221369.1	26-DEC-2017	552	Canada: Ontario, Renfrew District, Petawawa, NEBIE field study site	primary	rbcL	45.9	-77.2833	0.000162589970956786
Achillea_millefolium	MG221339.1	26-DEC-2017	549	Canada: Ontario, Parry Sound District, French River	primary	rbcL	46.0251	-80.5779	0.000163494025064095
Achillea_millefolium	MG221242.1	26-DEC-2017	552	Canada: Ontario, Kenora, English River Forest	primary	rbcL	49.7667	-94.4667	0.000162589970956786
Achillea_millefolium	MF349338.1	21-SEP-2017	539	USA: District of Columbia; Smithsonian Gardens, Butterfly Habitat Garden. Center aisle	primary	rbcL	38.869	-76.914	0.000166795294602177
Achillea_millefolium	KX679015.1	29-APR-2017	552	Canada: British Columbia, Vancouver Island, Comox-Strathcona Regional District, Campbell Lake Forest Service Road	primary	rbcL	50.046	-125.461	0.000162589970956786
Achillea_millefolium	KX678518.1	29-APR-2017	548	Canada: British Columbia, East Kootenay Regional District, Dry Gulch Provincial Park	primary	rbcL	50.5862	-116.035	0.000163797615363201
Achillea_millefolium	KX678429.1	29-APR-2017	542	Canada: British Columbia, Kootenay Boundary Regional District, Conkle Lake Provincial Park	primary	rbcL	49.182	-119.091	0.000165643107626149
Achillea_millefolium	KX678220.1	29-APR-2017	552	Canada: British Columbia, Okanagan-Similkameen Regional District, near Link Lake Forest Recreation Site, Kettle Valley Rail Trail	primary	rbcL	49.711	-120.231	0.000162589970956786
Achillea_millefolium	HQ589934.1	09-NOV-2011	591	Canada: Ontario, Regional Municipality of York, King Twp., Joker's Hill East., S of path, NE of pond towards red pine plantation	primary	rbcL	44.038	-79.513	0.000153870353937695
Achillea_millefolium	KT695526.1	29-SEP-2015	549	Canada: Ontario, rare Charitable Research Reserve, Blair Flats	primary	rbcL	43.383	-80.369	0.000163699853790381
Achillea_millefolium	KJ593180.1	17-MAR-2015	540	USA: Wisconsin, Mountain	primary	rbcL	45.147	-88.319	0.000109807478710675
Achillea_millefolium	KJ593179.1	17-MAR-2015	535	USA: Wisconsin, Abrams	primary	rbcL	44.844	-88.072	0.000110367791799193
Achillea_millefolium	KJ841079.1	04-NOV-2014	552	Canada: Quebec, Gault Nature Reserve. Mont St. Hilaire, Quebec. Periphery of visitor's centre at Mont St. Hilare	primary	rbcL	45.538	-73.158	0.000162589970956786
Achillea_millefolium	KC481884.1	25-OCT-2013	552	Canada: Nunavut, Kitikmeot Region, Bathurst Inlet, South Quadjuk Island, sandstone heads area	primary	rbcL	66.861	-107.91	0.000162589970956786
Achillea_millefolium	KC481883.1	25-OCT-2013	552	Canada: Northwest Territories, Cape Bathurst Peninsula, 9 km SSW of Cape Bathurst along shores of the Arctic Ocean	primary	rbcL	70.497	-128.149	0.000162589970956786
Achillea_millefolium	KC481882.1	25-OCT-2013	552	Canada: Northwest Territories, Mainland Northwest Territoires, Tuktoyaktuk	primary	rbcL	69.45	-133.033	0.000162589970956786
