sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Sambucus_nigra	KX677657.1	09-AUG-2017	786	Canada: British Columbia, Kootenay Boundary Regional District, Burrell Creek Forest Service Road	primary	matK	49.6218	-118.314	0.000843532182768189
Sambucus_nigra	KX676851.1	09-AUG-2017	815	Canada: British Columbia, Vancouver Island, Cowichan Valley Regional District, marshy area just off Nitnat Rd.	primary	matK	48.9126	-124.488	0.0057403519155368
Sambucus_nigra	JQ412285.1	16-JAN-2013	765	South Africa: Western Cape, Cape Town, Robben Island	primary	matK	-33.812	18.38	0.000899359719818102
Sambucus_nigra	JN896163.1	07-MAR-2012	819	United Kingdom: Carmarthenshire	primary	matK	51.84	-4.15	0.000856457476792767
Sambucus_nigra	OQ290563.1	16-MAY-2023	723	Mexico: Puebla	secondary	matK	18.7066254622013	-98.9225997694446	0.00217350326570722
Sambucus_nigra	OQ290346.1	16-MAY-2023	805	Mexico: Puebla	secondary	matK	19.5515122111764	-98.9251125911256	0.000834484371784704
Sambucus_nigra	OQ289875.1	16-MAY-2023	798	Mexico: Puebla	secondary	matK	19.2862151882495	-99.2992330663513	0.000837059482238548
Sambucus_nigra	OQ289468.1	16-MAY-2023	554	Mexico: Puebla	secondary	matK	19.6653155222239	-97.8544974855362	0.000835459829648448
Sambucus_nigra	KJ747819.1	27-JUL-2014	784	Spain	secondary	matK	40.0385579552268	-5.51246343490219	0.000874321581867216
Sambucus_nigra	KJ747818.1	27-JUL-2014	784	Spain	secondary	matK	40.1584528991933	-4.60529878073693	0.000874321581867216
Sambucus_nigra	KJ747817.1	27-JUL-2014	784	Spain	secondary	matK	38.59431238957	-4.70973664370438	0.000874321581867216
Sambucus_nigra	KJ747816.1	27-JUL-2014	784	Spain	secondary	matK	39.814631549485	-5.17857326553697	0.000874321581867216
Sambucus_nigra	KJ747815.1	27-JUL-2014	784	Spain	secondary	matK	38.559308801122	-4.68604105529474	0.000874321581867216
Sambucus_nigra	KJ747814.1	27-JUL-2014	784	Spain	secondary	matK	39.9878434885355	-5.033039069807	0.000874321581867216
Sambucus_nigra	KJ747813.1	27-JUL-2014	784	Spain	secondary	matK	39.1386375427466	-4.3347012248016	0.000874321581867216
Sambucus_nigra	KJ747812.1	27-JUL-2014	784	Spain	secondary	matK	39.5232682583167	-5.28264600260342	0.000874321581867216
Sambucus_nigra	HM850979.1	23-JUL-2011	517	Portugal	secondary	matK	39.6621648	-8.1353519	0.00907920423076338
Sambucus_nigra	JN895400.1	07-MAR-2012	791	United Kingdom: Glamorgan	secondary	matK	51.4470646	-3.3988831	0.000879825836947529
Sambucus_nigra	JN895393.1	07-MAR-2012	777	United Kingdom: Cardiganshire	secondary	matK	52.2945764	-3.952781	0.000893923771657525
Sambucus_nigra	FN668836.1	27-APR-2010	767	Italy:Lombardy	secondary	matK	45.5703694	9.7732524	0.00200000439564211
