sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Allium_atroviolaceum	MW377581.1	19-OCT-2021	635	Armenia	secondary	trnL-trnF	4.536307	-75.6723751	0.00547201949649105
Allium_atroviolaceum	MK850980.1	05-NOV-2019	587	Iran	secondary	trnL-trnF	32.9719943404171	55.0015737808057	0.00301956473531202
Allium_atroviolaceum	MK850979.1	05-NOV-2019	587	Iran	secondary	trnL-trnF	32.1830278252891	54.3712702311928	0.00301956473531202
Allium_atroviolaceum	MK850978.1	05-NOV-2019	586	Iran	secondary	trnL-trnF	32.4303355990634	53.6724971773288	0.00302487941677606
Allium_atroviolaceum	MK850977.1	05-NOV-2019	587	Iran	secondary	trnL-trnF	32.1330665801335	55.258428870093	0.00301956473531202
Allium_atroviolaceum	MK850975.1	05-NOV-2019	586	Iran	secondary	trnL-trnF	33.3401208139789	55.2368819322776	0.00399752717623761
Allium_atroviolaceum	MK850974.1	05-NOV-2019	588	Iran	secondary	trnL-trnF	32.747386093182	54.6640145371375	0.00398624076076754
Allium_atroviolaceum	MK850971.1	05-NOV-2019	586	Iran	secondary	trnL-trnF	32.619487849734	54.8409558671528	0.00442108055153353
Allium_atroviolaceum	MK850967.1	05-NOV-2019	588	Iran	secondary	trnL-trnF	32.4486565486498	55.3888933049779	0.00759021666747177
Allium_atroviolaceum	MK850966.1	05-NOV-2019	584	Iran	secondary	trnL-trnF	32.2625942823103	53.8286622267657	0.0078173168269113
Allium_atroviolaceum	KR150194.1	05-OCT-2015	530	Iran	secondary	trnL-trnF	32.5838574670297	53.8764009498845	0.00696179062903436
Allium_atroviolaceum	EU626241.1	13-JAN-2010	698	Turkey	secondary	trnL-trnF	38.9597594	34.9249653	0.0123195692149476
