sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Potentilla_pulchella	KC475493.1	25-OCT-2013	765	Canada: Northwest Territories, Victoria Island, Ulakhaktok, Adjacent to Kings Bay, across water from 'Old Holman', N side of Uluhaktok	primary	matK	70.2905755058842	-119.947071888719	0.000245700245700246
Potentilla_pulchella	KC475492.1	25-OCT-2013	765	Canada: Nunavut, Victoria Island, Oterkvik Point, Oterkvik Point vicinity. Region SW of camp, ca. 9 km north of Coronation Gulf coast, 12 km north of point	primary	matK	68.678	-112.703	0.000245700245700246
Potentilla_pulchella	KC475491.1	25-OCT-2013	765	Canada: Nunavut, Bylot Island, Qarlikturvik Valley	primary	matK	73.15	-79.85	0.000245700245700246
Potentilla_pulchella	KC475490.1	25-OCT-2013	765	Canada: Northwest Territories, Banks Island, De Salis Bay	primary	matK	71.467	-121.9	0.000245700245700246
Potentilla_pulchella	KC475489.1	25-OCT-2013	765	Canada: Nunavut, Hudsons Bay, Belcher Islands, Tukarak Island, slightly east facing slope below large rock hills, 50 m from shore	primary	matK	56.386	-78.872	0.000245700245700246
Potentilla_pulchella	KC475488.1	25-OCT-2013	761	Canada: Northwest Territories, Axel Heiberg Island, Mokka Fiord	primary	matK	79.483	-87.367	0.00024703557312253
Potentilla_pulchella	KC475487.1	25-OCT-2013	765	Canada: Northwest Territories, Victoria Island, Minto Inlet, Coast on S side of river delta at head of N arm of Minto Inlet	primary	matK	71.631	-115.476	0.000245700245700246
Potentilla_pulchella	KC475486.1	25-OCT-2013	765	Canada: Northwest Territories, Victoria Island, Ulakhaktok, Adjacent to Kings Bay, across water from 'Old Holman', N side of Uluhaktok	primary	matK	71.1985280803981	-117.161405249976	0.000245700245700246
Potentilla_pulchella	KC475485.1	25-OCT-2013	765	Canada: Northwest Territories, Victoria Island, Minto Inlet, Head of Minto Inlet, end of eastern most inlet (N arm), coastal saline flat	primary	matK	71.535	-115.184	0.000245700245700246
Potentilla_pulchella	JN966471.1	27-OCT-2012	761	Canada: Manitoba, Churchill, 2 km NW Churchill, Churchill Harbour, Disturbed river bank, road side	primary	matK	58.78	-94.195	0.000245700245700246
Potentilla_pulchella	JN966470.1	27-OCT-2012	761	Canada: Manitoba, Churchill, 2 km W Churchill, Churchill River, River bank	primary	matK	58.789	-94.227	0.000245700245700246
Potentilla_pulchella	JN966469.1	27-OCT-2012	740	Canada: Manitoba, Churchill, 7 km ESE Churchill, Launch Road, Sandy beach	primary	matK	58.761	-94.037	0.00270403803012499
