sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Urtica_dioica	OK042279.1	06-FEB-2023	659	South Korea	primary	trnS-trnG	37.5	127.07	0.0121994726809724
Urtica_dioica	OK042278.1	06-FEB-2023	659	South Korea	primary	trnS-trnG	37.57	126.87	0.0136388848590096
Urtica_dioica	KF971178.1	15-MAR-2014	679	Italy	secondary	trnS-trnG	42.3347607193142	13.7666081400969	0.0176666117592912
Urtica_dioica	KF971176.1	15-MAR-2014	735	South Africa	secondary	trnS-trnG	-28.8166236	24.991639	0.0237000383073992
Urtica_dioica	KF971160.1	15-MAR-2014	697	China	secondary	trnS-trnG	35.3202954953334	104.06304787308	0.0592989178486278
Urtica_dioica	KF971159.1	15-MAR-2014	703	China	secondary	trnS-trnG	34.3302782343648	105.25375845882	0.0590065554137421
Urtica_dioica	KF971158.1	15-MAR-2014	704	China	secondary	trnS-trnG	35.225439521412	104.491736806703	0.0598887435031526
Urtica_dioica	KF559124.1	21-DEC-2013	677	Germany	secondary	trnS-trnG	40.9168037467255	-78.7397065512672	0.01835409182127
Urtica_dioica	KF559122.1	21-DEC-2013	677	Switzerland	secondary	trnS-trnG	46.9662781786748	9.17318703727718	0.0204697984597305
Urtica_dioica	KF559120.1	21-DEC-2013	672	Italy	secondary	trnS-trnG	43.2595939496905	12.0631739238263	0.0159499674901193
Urtica_dioica	KF559118.1	21-DEC-2013	684	Mexico	secondary	trnS-trnG	19.4326296	-99.1331785	0.0149250936322885
Urtica_dioica	KF559103.1	21-DEC-2013	679	Switzerland	secondary	trnS-trnG	46.5519955130506	7.23060698208126	0.0167107041145139
Urtica_dioica	KF559102.1	21-DEC-2013	678	Switzerland	secondary	trnS-trnG	46.5923134449582	9.28406435546303	0.0175767982224598
Urtica_dioica	KF559101.1	21-DEC-2013	676	Germany	secondary	trnS-trnG	39.7365887382977	-79.2269362798546	0.0156230001589474
Urtica_dioica	KF559100.1	21-DEC-2013	672	Germany	secondary	trnS-trnG	40.1146750573688	-78.9477609846851	0.0156712721638221
Urtica_dioica	KF559075.1	21-DEC-2013	684	Norway	secondary	trnS-trnG	64.5731537	11.5280364	0.0163338570912913
Urtica_dioica	KF559072.1	21-DEC-2013	675	Austria	secondary	trnS-trnG	36.9148511	-4.7534501	0.0144219134388857
Urtica_dioica	KF559071.1	21-DEC-2013	685	Germany	secondary	trnS-trnG	40.6851689000566	-78.3509667298606	0.0191235384129242
Urtica_dioica	KF559069.1	21-DEC-2013	672	Czech Republic	secondary	trnS-trnG	49.7439047	15.3381061	0.0181675846396883
Urtica_dioica	KF559068.1	21-DEC-2013	685	Germany	secondary	trnS-trnG	40.7520179045666	-79.0459487034377	0.0159978491496339
