sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Veronica_spicata	KU207067.1	22-DEC-2016	233	Romania	secondary	psbA-trnH	45.9852129	24.6859225	0.012171483013268
Veronica_spicata	KU207066.1	22-DEC-2016	308	Russia	secondary	psbA-trnH	63.8440224396189	97.5258608085074	0.0122366298044817
Veronica_spicata	KU207064.1	22-DEC-2016	308	Russia	secondary	psbA-trnH	64.3515805963478	97.2120854982752	0.011727325633038
Veronica_spicata	KJ425736.1	31-JAN-2015	308	Ukraine	secondary	psbA-trnH	49.6594993300411	30.0520480921833	0.0322375107464719
Veronica_spicata	KJ425735.1	31-JAN-2015	308	Ukraine	secondary	psbA-trnH	49.3975755140205	31.6694219702296	0.0347889797906431
Veronica_spicata	KJ425734.1	31-JAN-2015	308	Ukraine	secondary	psbA-trnH	49.5919524082803	31.3370120388745	0.0119819920355129
Veronica_spicata	KJ425733.1	31-JAN-2015	308	Ukraine	secondary	psbA-trnH	48.7165015020165	30.8750560269622	0.00879764686751067
Veronica_spicata	KJ425731.1	31-JAN-2015	308	United Kingdom	secondary	psbA-trnH	54.7023545	-3.2765753	0.0118546588342755
Veronica_spicata	KJ425730.1	31-JAN-2015	308	Germany	secondary	psbA-trnH	40.4203479	-79.1166983	0.0118546588342755
Veronica_spicata	KJ425729.1	31-JAN-2015	235	Sweden	secondary	psbA-trnH	59.6749712	14.5208584	0.0163671792827803
Veronica_spicata	KJ425728.1	31-JAN-2015	308	Russia	secondary	psbA-trnH	64.5771847187883	98.0693729287695	0.00879764686751067
Veronica_spicata	KJ425727.1	31-JAN-2015	308	Russia	secondary	psbA-trnH	64.9217834617925	99.1858869544853	0.00879764686751067
Veronica_spicata	KJ425726.1	31-JAN-2015	308	Russia	secondary	psbA-trnH	63.8365230969458	98.2363707883308	0.00879764686751067
Veronica_spicata	KJ425725.1	31-JAN-2015	308	Russia	secondary	psbA-trnH	64.3436533694411	96.3339297630957	0.0282226586644219
Veronica_spicata	KJ425704.1	31-JAN-2015	308	Russia	secondary	psbA-trnH	64.372952524197	95.815773857326	0.00905228463647951
Veronica_spicata	KJ425703.1	31-JAN-2015	308	Russia	secondary	psbA-trnH	65.0164317313791	97.8502737464316	0.00879764686751067
Veronica_spicata	KJ425702.1	31-JAN-2015	310	Russia	secondary	psbA-trnH	65.0384631768272	96.1206062042894	0.0282226586644219
Veronica_spicata	KJ425701.1	31-JAN-2015	308	Russia	secondary	psbA-trnH	64.5377947549716	96.8458183063052	0.00879764686751067
