sp_name	accession	date	length	country	coord	marker	Latitude	Longitude	gen_dist
Vaccinium_uliginosum	MF427841.1	09-JAN-2018	439	Germany: Wildmoos near Gilching	primary	trnL-trnF	48.11155	11.22431	0.00509699177907556
Vaccinium_uliginosum	MF427840.1	09-JAN-2018	440	Germany: Katzenreuter Filze	primary	trnL-trnF	48.0317	12.00653	0.00509565394142932
Vaccinium_uliginosum	MF427839.1	09-JAN-2018	435	Germany: Schonleitenschrofen	primary	trnL-trnF	47.57122	10.80811	0.00507586961706766
Vaccinium_uliginosum	MF427838.1	09-JAN-2018	435	Austria: bog west of Berwang	primary	trnL-trnF	47.40932	10.73626	0.00507586961706766
Vaccinium_uliginosum	MF427837.1	09-JAN-2018	435	Italy: path towards Lavarellahutte	primary	trnL-trnF	46.61904	12.02559	0.00507586961706766
Vaccinium_uliginosum	MF427836.1	09-JAN-2018	436	Italy: path towards Lavarellahutte	primary	trnL-trnF	46.61902	12.02641	0.00507452281340527
Vaccinium_uliginosum	MF427835.1	09-JAN-2018	435	Italy: path towards Knuttenalm	primary	trnL-trnF	46.96917	12.08251	0.00660339449568624
Vaccinium_uliginosum	MF427834.1	09-JAN-2018	438	Italy: summit of Creta di Timau	primary	trnL-trnF	46.59666	13.00898	0.00485799499257753
Vaccinium_uliginosum	MF427833.1	09-JAN-2018	437	Italy: summit of Creta di Timau	primary	trnL-trnF	46.59607	13.0077	0.00483467995811862
Vaccinium_uliginosum	MF427832.1	09-JAN-2018	439	Austria: surroundings of Zettersfeld	primary	trnL-trnF	46.86861	12.78312	0.00485696956871028
Vaccinium_uliginosum	MF427831.1	09-JAN-2018	440	Austria: surroundings of Zettersfeld	primary	trnL-trnF	46.86863	12.78282	0.0048562575663861
Vaccinium_uliginosum	MF427830.1	09-JAN-2018	435	Austria: below Retschitzalpe	primary	trnL-trnF	47.02884	12.79998	0.00483642649473421
Vaccinium_uliginosum	MF427829.1	09-JAN-2018	435	Austria: along Grossglockner-Hochalpenstrasse	primary	trnL-trnF	47.13086	12.80798	0.00507586961706766
Vaccinium_uliginosum	MF427828.1	09-JAN-2018	438	Austria: Filzenkogel, NE slope	primary	trnL-trnF	47.13477	11.87806	0.00508495314921987
Vaccinium_uliginosum	MF427827.1	09-JAN-2018	435	Austria: Filzenkogel, NE slope	primary	trnL-trnF	47.13502	11.87716	0.00483642649473421
Vaccinium_uliginosum	MF427826.1	09-JAN-2018	439	Austria: Filzenkogel, NE slope	primary	trnL-trnF	47.13492	11.87499	0.00485696956871028
Vaccinium_uliginosum	MF427825.1	09-JAN-2018	438	Austria: near Mezuinalm	primary	trnL-trnF	47.26598	11.8434	0.00509781856076062
Vaccinium_uliginosum	MF427824.1	09-JAN-2018	439	Austria: near Mezuinalm	primary	trnL-trnF	47.26627	11.84398	0.00483467995811862
Vaccinium_uliginosum	MF427823.1	09-JAN-2018	435	Austria: near Mezuinalm	primary	trnL-trnF	47.26571	11.84481	0.00507586961706766
Vaccinium_uliginosum	MF427822.1	09-JAN-2018	439	Austria: S of lake Zirein, Rofan	primary	trnL-trnF	47.46352	11.81212	0.00509699177907556
Vaccinium_uliginosum	MF427821.1	09-JAN-2018	435	Switzerland: Turbenmoos near Etzel	primary	trnL-trnF	47.17588	8.75734	0.00507586961706766
Vaccinium_uliginosum	MF427820.1	09-JAN-2018	435	Switzerland: Eggenberge below Huenderegg	primary	trnL-trnF	46.90379	8.6557	0.00507586961706766
Vaccinium_uliginosum	MF427819.1	09-JAN-2018	440	Switzerland: Passo del Lucomagno	primary	trnL-trnF	46.563	8.79927	0.00509565394142932
Vaccinium_uliginosum	MF427818.1	09-JAN-2018	438	Switzerland: Passo del Lucomagno	primary	trnL-trnF	46.56328	8.79964	0.00485799499257753
Vaccinium_uliginosum	MF427817.1	09-JAN-2018	451	Switzerland: Passo del Lucomagno	primary	trnL-trnF	46.56346	8.79975	0.00671478146415124
Vaccinium_uliginosum	MF427816.1	09-JAN-2018	436	Switzerland: Alpe di Sceng	primary	trnL-trnF	46.36022	9.05526	0.00483499372488061
Vaccinium_uliginosum	MF427815.1	09-JAN-2018	441	Switzerland: western ridge of Monte Bar	primary	trnL-trnF	46.10381	8.99843	0.00661982458747123
Vaccinium_uliginosum	MF427814.1	09-JAN-2018	436	Switzerland: western ridge of Monte Bar	primary	trnL-trnF	46.10406	8.99907	0.00660141727328826
Vaccinium_uliginosum	MF427813.1	09-JAN-2018	437	Switzerland: Maggia valley, above lake Sambuco	primary	trnL-trnF	46.48823	8.61499	0.00659967057702792
Vaccinium_uliginosum	MF427812.1	09-JAN-2018	436	Germany: Spitzingsee moor	primary	trnL-trnF	47.99511	11.8835	0.00507452281340527
Vaccinium_uliginosum	MF427811.1	09-JAN-2018	436	Germany: Filzenklaas, S of Tuntenhausen	primary	trnL-trnF	47.91572	12.02937	0.00507452281340527
Vaccinium_uliginosum	MF427810.1	09-JAN-2018	440	Austria: Faschina, Zafernhorn, Gumpner Gratle	primary	trnL-trnF	47.27519	9.92625	0.00509565394142932
Vaccinium_uliginosum	MF427809.1	09-JAN-2018	436	Austria: Faschina, Zafernhorn, Gumpner Gratle	primary	trnL-trnF	47.27538	9.92737	0.00507452281340527
Vaccinium_uliginosum	MF427808.1	09-JAN-2018	436	Austria: Moor near Langen bei Bregenz	primary	trnL-trnF	47.50862	9.84761	0.00507452281340527
Vaccinium_uliginosum	MF427807.1	09-JAN-2018	437	Switzerland: Moor Bizau-Schonenbach	primary	trnL-trnF	47.373	10.02246	0.00507395232838347
Vaccinium_uliginosum	MF427806.1	09-JAN-2018	435	Austria: Niederthai, Hemerachalmen	primary	trnL-trnF	47.10258	10.97118	0.00483642649473421
Vaccinium_uliginosum	MF427805.1	09-JAN-2018	441	Italy: Oberglaueggalm, Timmelsjoch	primary	trnL-trnF	46.88172	11.11075	0.00485523483701183
Vaccinium_uliginosum	MF427804.1	09-JAN-2018	440	Italy: Lavaze Joch, Malga Varena	primary	trnL-trnF	46.35212	11.4842	0.00485554654104299
Vaccinium_uliginosum	MF427803.1	09-JAN-2018	436	Italy: Wolflmoor, Deutschnofen	primary	trnL-trnF	46.4301	11.4105	0.00507452281340527
Vaccinium_uliginosum	MF427802.1	09-JAN-2018	440	Germany: Fetzachmoos	primary	trnL-trnF	47.75102	10.02963	0.00509565394142932
Vaccinium_uliginosum	MF427801.1	09-JAN-2018	436	Italy: Lazins, Pfelders	primary	trnL-trnF	46.6453159279497	9.80069256472282	0.00483499372488061
Vaccinium_uliginosum	MF427800.1	09-JAN-2018	436	Italy: Lazins, Pfelders	primary	trnL-trnF	46.4655057881132	11.0166392098502	0.00483499372488061
Vaccinium_uliginosum	MF427799.1	09-JAN-2018	435	Italy: Lazins, Pfelders	primary	trnL-trnF	46.78279	11.06607	0.00483642649473421
Vaccinium_uliginosum	MF427798.1	09-JAN-2018	436	Italy: Spitzn Sumpfl, Ulten	primary	trnL-trnF	46.52798	11.02469	0.00483499372488061
Vaccinium_uliginosum	MF427797.1	09-JAN-2018	435	Switzerland: Pescia Alta, Brusio	primary	trnL-trnF	46.22962	10.07302	0.00660339449568624
Vaccinium_uliginosum	MF427796.1	09-JAN-2018	437	Switzerland: Bernina pass	primary	trnL-trnF	46.41343	10.02328	0.00660096088527082
Vaccinium_uliginosum	MF427795.1	09-JAN-2018	437	Switzerland: Lej da Staz, St Moritz	primary	trnL-trnF	46.49865	9.87056	0.00507395232838347
Vaccinium_uliginosum	MF427794.1	09-JAN-2018	435	Switzerland: Lej da Staz, St Moritz	primary	trnL-trnF	46.49898	9.87118	0.00507586961706766
Vaccinium_uliginosum	MF427793.1	09-JAN-2018	398	Germany: Glaser Moos near Kesselberg, Bonndorf	primary	trnL-trnF	47.82149	8.25212	0.00538436929012618
Vaccinium_uliginosum	MF427792.1	09-JAN-2018	435	Switzerland: Schollberg, St. Antonien	primary	trnL-trnF	46.97529	9.85273	0.00483642649473421
Vaccinium_uliginosum	MF427791.1	09-JAN-2018	435	Switzerland: Fluelapass	primary	trnL-trnF	46.75312	9.94573	0.00660339449568624
Vaccinium_uliginosum	MF427790.1	09-JAN-2018	439	Austria: Gerlosplatte	primary	trnL-trnF	47.24214	12.14188	0.00509699177907556
Vaccinium_uliginosum	MF427789.1	09-JAN-2018	435	Austria: surroundings of Jack-Hochalm, Rauris	primary	trnL-trnF	47.22186	12.95493	0.00507586961706766
Vaccinium_uliginosum	MF427788.1	09-JAN-2018	434	Germany: Ursprunger Moos	primary	trnL-trnF	47.88449	13.06185	0.00506585444247054
Vaccinium_uliginosum	MF427787.1	09-JAN-2018	435	Germany: Rohrmoos near Innerwill	primary	trnL-trnF	47.95229	13.05183	0.00507586961706766
Vaccinium_uliginosum	MF427786.1	09-JAN-2018	435	Germany: Gotzenalm, Feuerpalven	primary	trnL-trnF	47.53959	12.99423	0.00507586961706766
Vaccinium_uliginosum	MF427785.1	09-JAN-2018	436	Germany: Schwenninger Moos	primary	trnL-trnF	48.03986	8.52418	0.00507452281340527
Vaccinium_uliginosum	MF427784.1	09-JAN-2018	441	Germany: Oberoblander Filz	primary	trnL-trnF	47.83568	10.94546	0.00509508823042958
Vaccinium_uliginosum	MF427783.1	09-JAN-2018	435	Germany: Dettenhofer Filz	primary	trnL-trnF	47.97064	11.03736	0.00507586961706766
Vaccinium_uliginosum	MG252857.1	09-JAN-2018	404	Switzerland: Schollberg, St. Antonien	primary	trnL-trnF	47.5475594434318	9.21945798613284	0.00527728977583045
Vaccinium_uliginosum	MG252856.1	09-JAN-2018	405	Switzerland: Schollberg, St. Antonien	primary	trnL-trnF	46.8337005875914	9.19830996381245	0.00526518635773106
Vaccinium_uliginosum	DQ073270.2	28-JUN-2005	423	Norway: Nordland, Narvik, Frostisen	primary	trnL-trnF	68.2	17.3	0.00506906413720083
